"id.site","hanski.lcp.grasslands.r300","field.size.avg.r300","lc.shannon.div.r300","edge.dens.r300","agrar.r300","cereal.r300","legume.r300","rape.r300","special.crop.r300","cult.grassland.r300","perm.grassland.r300","wetland.r300","mire.r300","heathland.r300","margin.r300","hedge.r300","grove.r300","forest.r300","tree.avenue.r300","urban.r300","water.r300","anthrop.herb.area.r300","hanski.lcp.grasslands.r600","field.size.avg.r600","lc.shannon.div.r600","edge.dens.r600","agrar.r600","cereal.r600","legume.r600","rape.r600","special.crop.r600","cult.grassland.r600","perm.grassland.r600","wetland.r600","mire.r600","heathland.r600","margin.r600","hedge.r600","grove.r600","forest.r600","tree.avenue.r600","urban.r600","water.r600","anthrop.herb.area.r600","hanski.lcp.grasslands.r1200","field.size.avg.r1200","lc.shannon.div.r1200","edge.dens.r1200","agrar.r1200","cereal.r1200","legume.r1200","rape.r1200","special.crop.r1200","cult.grassland.r1200","perm.grassland.r1200","wetland.r1200","mire.r1200","heathland.r1200","margin.r1200","hedge.r1200","grove.r1200","forest.r1200","tree.avenue.r1200","urban.r1200","water.r1200","anthrop.herb.area.r1200"
"M_ALT",2.9921,9.1617,0.916,252.7749,48.43,45.0518,0,3.3738,0,0,41.01,0,0,0,0,0,0.348,1.4147,0,2.1907,7.1952,0.0035,8.2205,6.629,1.6321,276.6009,56.63,40.3017,0,15.2075,1.1168,0,25.35,0,0,0,0,0,0.5343,5.4172,0,7.1044,4.7863,1.7585,20.3208,6.5068,2.0089,275.6201,48.83,29.8064,0.004,10.0289,8.9903,0,17.92,0,0,0,0,0.0361,0.7566,6.5179,0.0361,18.1464,2.689,6.3384
"M_ASE",7.5703,10.0443,1.3712,306.2799,26.83,26.8338,0,0,0,0,36.74,0,0,0,0.4304,0.4948,34.1366,0,0,2.4471,0.5005,0,8.399,8.9391,1.8518,260.0506,47.14,43.2683,0,0,3.8766,0,27.14,4.3674,0,0,0.8,0.4279,14.7523,0,0,3.0373,0.9823,0,11.6929,9.5768,2.248,246.0452,53.3,39.2885,0,9.466,4.5441,0,15.67,7.2253,0,0,0.5877,0.3659,7.8201,0,0,8.5962,8.9671,0.8997
"M_BAD",0,14.775,1.0926,326.2321,39.51,0,20.9031,18.6021,0,0,0,0,0,0,0.5079,0.1086,0.8046,39.9062,0,10.4087,0,0,0.0024,11.6495,1.6658,272.9617,44.75,2.6833,20.6074,21.4643,0,0,4.37,0,0,0,0.127,0.3204,9.635,30.0762,0,9.695,0.2653,0,0.3703,10.3677,2.3095,261.0757,54.85,27.504,13.5657,12.7164,1.0682,0,7.61,0,0,0,0.3062,0.5015,5.5815,18.1659,0,6.7903,0.3607,4.8761
"M_BAL",0,11.1117,1.0414,232.0562,11.19,3.4973,0,7.6881,0,0,5.6,0,0,0,0,0,0.9337,66.4475,0,1.6549,0.2455,11.3884,0.0415,7.35,1.5002,244.4081,28.02,15.0329,0,12.9852,0,0,14.35,0,0,0,0,0,1.2139,45.6218,0,3.1955,1.8888,2.8471,0.6855,8.2487,1.885,250.7717,45.49,30.3029,0,13.1749,2.0132,0,19.5,0,0,0,0.0343,0.2288,1.597,23.4794,0.0033,4.9726,1.9632,0.7118
"M_BEE",4.2219,4.792,1.2026,408.0832,23.9,23.6233,0,0.2751,0,0,42.83,0,0,0,0,0,1.941,8.9074,0,22.9289,1.4073,0,8.9023,6.0467,1.7368,317.3559,38.15,32.8839,0,5.1816,0.0888,0,23.88,0,0,0,0.2771,0.0236,4.579,5.7806,0,20.6226,4.7118,3.34,15.5046,6.954,2.3046,285.1912,51.54,30.8035,0,9.7478,10.988,0,9,0.0422,0,0,0.5056,0.2201,2.6897,5.9728,0.0922,19.1355,8.3114,3.5774
"M_BEN",0,15.7614,1.1325,145.5578,35.61,35.6108,0,0,0,0,0,0,0,0,0,0,0,27.8426,0,0,0,42.4445,0,14.6719,1.4374,101.7858,62.42,62.4207,0,0,0,0,0,0,0,0,0,0,0.055,18.1174,0,3.2163,0,17.3996,5e-04,14.2482,1.8576,120.0963,72.16,63.923,0,4.0267,4.2074,0,0.82,0,0,0,0,0.1073,0.3802,15.7787,0,6.5856,0,5.5753
"M_BIR",5.012,7.453,0.9666,410.0415,0,0,0,0,0,0,54.79,0,0,0,0,0,10.1972,20.7658,0,2.468,5.1382,0,10.3695,5.8003,1.3062,260.1338,6.43,6.4252,0,0,0,0,53.47,0,0,0,0,0.0806,4.0144,28.5891,0,1.8743,3.3296,0,26.9181,10.3293,1.701,213.6654,28.72,24.9166,0,3.8014,0,0,22.83,0,0,0,0.2469,0.3618,2.3634,39.2549,0,2.1062,2.3183,0
"M_BOD",5.977,14.168,1.3728,271.0059,19.81,19.81,0,0,0,0,54.41,0,0,0,0,0.1128,0.9464,6.8313,0.1128,1.7083,6.6219,12.2898,9.923,12.9988,1.6548,201.5514,55.66,50.4131,5.2484,0,0,0,26.47,0,0,0,0,0.1446,0.7316,5.1552,0.1446,3.8852,3.4811,6.7343,18.5646,11.358,1.9435,164.3546,76.81,58.6971,6.154,4.9751,6.9883,0,10.3,0,0,0,0,0.0361,0.5413,3.356,0.0361,3.4281,1.7422,5.7344
"M_BRA",2e-04,8.5857,1.5405,312.834,43.28,28.175,0,0,15.1015,0,1.89,0,0,4.8281,1.6234,0.1411,8.0126,5.6977,0,2.6894,0.0184,0,0.0374,13.0336,1.9731,264.7875,65.82,55.4205,0,0,10.4025,0,5.08,0,0,2.2169,1.1111,0.2594,8.0212,4.7206,0,4.608,0.4048,0.1697,0.7858,11.2128,1.7436,226.7685,73.58,70.9787,0,0,2.6006,0,8.99,0,0,1.355,0.6436,0.1472,5.5399,3.4017,0,6.2061,0.3663,0.079
"M_BUH",3.7968,5.6645,1.5531,229.1627,68.79,33.2465,0,24.6393,10.9025,0,16.53,0,0,0,0,0,0,7.7003,0,1.3479,0,0.7342,5.7215,4.7291,2.098,223.4792,73.83,41.71,4.7876,16.0911,11.2455,0,6.79,0,0,0,0.4146,0,0.2184,13.1904,0,2.2564,0,0.377,6.582,4.8059,2.2903,228.7519,76.84,45.1298,5.6296,10.2762,15.8011,0,4.87,0,0,0.0301,0.3501,0.0151,2.2787,7.5593,0,2.8596,0,1.8756
