"id.site","nat.reg.OD2","nat.reg.OD3","nat.reg.GL","nat.reg.NR"
"N_BRE","75","750","4","D04"
"N_PAN","75","750","4","D04"
"N_BRO","76","760","4","D05"
"N_WIZ","76","760","4","D05"
"M_JEP","87","875","4","D09"
"M_JER","87","875","4","D09"
"M_STF","87","875","4","D09"
"N_ALA","87","876","4","D09"
"N_BLE","87","876","4","D09"
"N_BRD","87","876","4","D09"
"N_CNI","87","876","4","D09"
"N_DAM","87","876","4","D09"
"N_ELB","87","876","4","D09"
"N_GAR","87","876","4","D09"
"N_HOH","87","876","4","D09"
"N_JAS","87","876","4","D09"
"N_KAP","87","876","4","D09"
"N_PEV","87","876","4","D09"
"N_SCH","87","876","4","D09"
"N_STA","87","876","4","D09"
"N_TRI","87","876","4","D09"
"N_VIE","87","876","4","D09"
"N_WER","87","876","4","D09"
"M_BIR","88","881","4","D10"
"M_CAL","88","881","4","D10"
"M_CBE","88","881","4","D10"
"M_EIC","88","881","4","D10"
"M_KAP","88","881","4","D10"
"M_PRA","88","881","4","D10"
"M_STA","88","881","4","D10"
"M_STP","88","881","4","D10"
"M_VOC","88","881","4","D10"
"M_WUG","88","881","4","D10"
"M_WUM","88","881","4","D10"
"M_WUN","88","881","4","D10"
"M_WUP","88","881","4","D10"
"M_WUR","88","881","4","D10"
"M_BAD","48","488","6","D18"
"M_BAL","48","489","6","D18"
"M_HAH","48","489","6","D18"
"M_HAI","48","485","6","D18"
"M_HIR","48","489","6","D18"
"M_HNB","48","489","6","D18"
"M_KAL","48","485","6","D18"
"M_KUH","48","489","6","D18"
"M_NIS","48","489","6","D18"
"M_SMH","48","489","6","D18"
"M_SSB","48","489","6","D18"
"M_STN","48","488","6","D18"
"M_TTH","48","489","6","D18"
"M_TTO","48","489","6","D18"
"M_TTP","48","489","6","D18"
"M_ALT","50","502","4","D20"
"M_ASE","50","500","4","D20"
"M_BEE","50","502","4","D20"
"M_BEN","50","500","4","D20"
"M_BOD","50","502","4","D20"
"M_BRA","50","500","4","D20"
"M_DOB","50","500","4","D20"
"M_DOR","50","500","4","D20"
"M_FAL","50","502","4","D20"
"M_FRB","50","500","4","D20"
"M_GRO","50","502","4","D20"
"M_HOH","50","502","4","D20"
"M_ILB","50","502","4","D20"
"M_KIF","50","500","4","D20"
"M_KOL","50","500","4","D20"
"M_KOT","50","501","4","D20"
"M_LOB","50","500","4","D20"
"M_NEL","50","500","4","D20"
"M_SKF","50","504","4","D20"
"M_SSL","50","500","4","D20"
"M_STI","50","500","4","D20"
"M_SUL","50","504","4","D20"
"M_TAN","50","500","4","D20"
"M_TRE","50","500","4","D20"
"M_TRN","50","500","4","D20"
"M_WIM","50","500","4","D20"
"N_BIT","69","693","3","D22"
"N_BU1","69","698","3","D22"
"N_BU2","69","693","3","D22"
"N_HAI","69","695","3","D22"
"N_UET","69","695","3","D22"
"N_WEN","69","696","3","D22"
"N_MOO","70","702","3","D23"
"N_STE","70","701","3","D23"
"N_FLA","67","670","3","D24"
"N_KIR","67","670","3","D24"
"N_MEC","67","670","3","D24"
"N_OLE","67","670","3","D24"
"N_PFE","67","670","3","D24"
"N_RAD","67","670","3","D24"
"N_RET","67","670","3","D24"
"N_VOG","67","670","3","D24"
"N_WAL","67","670","3","D24"
"N_ZDF","67","670","3","D24"
"N_AFE","64","641","3","D28"
"N_BEB","64","641","3","D28"
"N_BEN","64","641","3","D28"
"N_CAM","64","641","3","D28"
"N_EIC","64","640","3","D28"
"N_GAM","64","641","3","D28"
"N_GUT","64","642","3","D28"
"N_HOR","64","640","3","D28"
"N_ISE","64","641","3","D28"
"N_MAU","64","642","3","D28"
"N_OCH","64","644","3","D28"
"N_SMG","64","641","3","D28"
"N_TAN","64","642","3","D28"
"N_TAS","64","642","3","D28"
"N_TUT","64","640","3","D28"
"M_WDG","86","863","4","D29"
"M_WED","86","863","4","D29"
"N_ARE","86","860","4","D29"
"N_BLU","86","860","4","D29"
"N_DUM","86","860","4","D29"
"N_GBI","86","860","4","D29"
"N_HOY","86","860","4","D29"
"N_KRI","86","860","4","D29"
"N_LUB","86","860","4","D29"
"N_NLG","86","860","4","D29"
"M_BUH","51","510","3","D33"
"M_HAR","51","510","3","D33"
"M_WEF","51","512","3","D33"
"M_WLE","51","512","3","D33"
"M_HLI","38","383","5","D37"
"M_MOZ","38","383","5","D37"
"S_ACR","6","64","8","D65"
"S_AFR","6","60","8","D65"
"S_AMP","6","62","8","D65"
"S_AUH","6","60","8","D65"
"S_AUL","6","60","8","D65"
"S_BUC","5","54","8","D65"
"S_DIE","5","51","8","D65"
"S_ECH","5","51","8","D65"
"S_EIT","6","64","8","D65"
"S_FCH","6","64","8","D65"
"S_FHZ","5","51","8","D65"
"S_GIG","5","51","8","D65"
