"id.site","x","y"
"N_BU1",4306000,3443000
"N_BU2",4305000,3443000
"N_BIT",4302000,3440000
"N_STE",4297000,3474000
"N_UET",4302000,3391000
"N_HAI",4303000,3388000
"N_ZDF",4323000,3373000
"N_KIR",4332000,3368000
"N_WEN",4340000,3377000
"N_BRE",4364000,3388000
"N_VIE",4365000,3362000
"N_GAR",4364000,3358000
"N_RET",4338000,3357000
"N_RAD",4338000,3357000
"N_TUT",4316000,3333000
"N_HOR",4333000,3332000
"N_DAM",4397000,3335000
"N_PEV",4419000,3329000
"N_BRD",4416000,3327000
"N_SCH",4416000,3326000
"N_ALA",4431000,3322000
"N_ARE",4416000,3312000
"N_KRI",4407000,3309000
"N_GBI",4402000,3309000
"N_HOY",4399000,3310000
"N_BLU",4398000,3311000
"N_ISE",4362000,3275000
"N_BEB",4360000,3272000
"N_SMG",4358000,3270000
"N_GAM",4358000,3267000
"S_ACR",4537000,2854000
"S_AUH",4524000,2836000
"S_AUL",4484000,2831000
"S_BUC",4537000,2797000
"S_DIE",4445000,2797000
"S_ECH",4443000,2797000
"S_FCH",4541000,2856000
"S_FHZ",4441000,2803000
"S_GIG",4445000,2806000
"S_GSH",4486000,2822000
"S_GTZ",4537000,2801000
"S_HGR",4481000,2826000
"S_HLZ",4527000,2826000
"S_JAN",4520000,2828000
"S_JAU",4521000,2824000
"S_JOS",4481000,2826000
"S_MBM",4490000,2837000
"S_NOZ",4458000,2800000
"S_PEI",4470000,2868000
"S_PEN",4473000,2869000
"S_SBA",4537000,2793000
"S_SBN",4537000,2794000
"S_SHH",4453000,2860000
"S_SNF",4529000,2824000
"S_STW",4537000,2858000
"S_VLP",4535000,2840000
"S_VLR",4536000,2840000
"S_WGD",4500000,2831000
"S_WTH",4538000,2859000
"M_ALT",4441000,3192000
"M_BAD",4431000,3135000
"M_BEN",4450000,3154000
"M_BUH",4362000,3211000
"M_CAL",4445000,3201000
"M_CBE",4445000,3201000
"M_DOB",4443000,3169000
"M_GRO",4437000,3185000
"M_HAI",4403000,3155000
"M_HIR",4438000,3122000
"M_HLI",4413000,3159000
"M_HOH",4434000,3195000
"M_KAL",4401000,3154000
"M_KIF",4442000,3173000
"M_KOT",4457000,3185000
"M_KUH",4448000,3128000
"M_NEL",4442000,3174000
"M_NIS",4444000,3122000
"M_SKF",4429000,3214000
"M_SSB",4441000,3124000
"M_SUL",4428000,3214000
"M_TAN",4442000,3171000
"M_TTO",4442000,3120000
"M_TTP",4443000,3122000
"M_WDG",4422000,3243000
"M_WEF",4401000,3230000
"M_WLE",4403000,3231000
"M_WIM",4424000,3156000
"M_WUG",4452000,3195000
"M_WUM",4454000,3193000
"M_WUP",4454000,3194000
"M_WUR",4455000,3193000
"M_DOR",4446000,3172000
"M_WUN",4452000,3195000
"N_AFE",4361000,3273000
"N_MAU",4391000,3332000
"N_BLE",4370000,3358000
"N_WAL",4342000,3355000
"N_JAS",4372000,3356000
"N_STA",4384000,3347000
"N_ELB",4402000,3335000
"N_DUM",4386000,3310000
"N_CNI",4377000,3349000
"N_LUB",4401000,3310000
"N_CAM",4309000,3338000
"N_GUT",4370000,3340000
"N_TAS",4380000,3337000
"N_BEN",4362000,3282000
"N_MOO",4364000,3387000
"N_NLG",4394000,3330000
"N_EIC",4318000,3338000
"N_TAN",4379000,3341000
"N_WIZ",4362000,3371000
"N_PAN",4362000,3395000
"N_PFE",4337000,3355000
"N_TRI",4394000,3339000
"N_HOH",4416000,3329000
"N_OCH",4345000,3351000
"N_KAP",4422000,3324000
"N_OLE",4338000,3353000
"N_BRO",4365000,3373000
"N_WER",4417000,3325000
"N_FLA",4341000,3353000
"N_MEC",4341000,3354000
"N_VOG",4343000,3352000
"M_PRA",4505000,3195000
"M_BIR",4484000,3192000
"M_VOC",4482000,3196000
"M_KAP",4475000,3198000
"M_EIC",4471000,3196000
"M_STP",4462000,3197000
"M_STA",4461000,3197000
"M_JER",4457000,3265000
"M_JEP",4458000,3265000
"M_STF",4436000,3242000
"M_WED",4422000,3240000
"M_HAR",4395000,3191000
"M_FAL",4414000,3182000
"M_MOZ",4411000,3176000
"M_ILB",4435000,3191000
"M_BOD",4440000,3192000
"M_BEE",4438000,3180000
"M_FRB",4441000,3169000
"M_STI",4448000,3173000
"M_TRE",4457000,3172000
"M_TRN",4457000,3172000
"M_LOB",4454000,3171000
"M_SSL",4454000,3170000
"M_BRA",4450000,3161000
"M_KOL",4447000,3156000
"M_ASE",4436000,3153000
"M_SMH",4432000,3137000
"M_HAH",4434000,3134000
"M_STN",4426000,3130000
"M_TTH",4442000,3122000
"M_HNB",4445000,3123000
"M_BAL",4440000,3123000
"S_AFR",4483000,2815000
"S_AMP",4448000,2817000
"S_EIT",4492000,2858000
"S_GSR",4492000,2857000
"S_HBF",4531000,2813000
"S_HTH",4494000,2836000
"S_HUB",4522000,2814000
"S_JHB",4503000,2821000
"S_KDT",4459000,2852000
"S_KRT",4440000,2815000
"S_LAP",4475000,2827000
"S_LPI",4526000,2846000
"S_MAS",4442000,2803000
"S_MCH",4474000,2826000
"S_MHH",4440000,2796000
"S_MTK",4522000,2808000
"S_OST",4544000,2846000
"S_OSW",4526000,2807000
"S_POP",4525000,2807000
