"id.site","cover.vegetation","cover.grass","cover.litter","cover.bare.soil","forb.grass.ratio","plant.richness","plant.target.richness","veg.heterogeneity","flower.cover","lk.grassland.per.min"
"M_ALT",75,64.5,40,5.25,0.18,30,20,4.12,0.0093,1.71
"M_ASE",85,56.75,4.5,13.75,0.56,59,31,4.72,0.498,2.44
"M_BAD",43.5,10.75,5.25,41.75,3.22,60,41,17.02,0.3905,1.6
"M_BAL",73.75,48.75,50,1.5,0.57,47,23,11.03,0.3711,1.75
"M_BEE",77.5,58.75,31.25,1.25,0.43,34,25,2.21,0.102,1.72
"M_BEN",38.75,33,78.75,1.38,0.2,31,23,7.02,0.6824,1.66
"M_BIR",92.5,50,22.5,1.75,0.92,62,45,4.8,1.4005,1.49
"M_BOD",80,54.75,43.75,8,0.51,41,23,4.48,0.1225,1.52
"M_BRA",86.25,36.25,10,7.53,1.58,60,45,9.81,0.912,1.58
"M_BUH",86.25,28.75,17.5,5.75,2.26,57,50,11.6,1.173,3.22
"M_CAL",71.25,27.5,51.25,12.5,1.67,37,25,12.1,2.2012,1
"M_CBE",77.5,65.75,50,6,0.2,22,13,1.73,0.0057,3.59
"M_DOB",67.5,17.5,37.5,11,3.03,66,50,4.65,1.913,2.53
"M_DOR",58.75,45,62.5,1.5,0.4,39,26,5.63,0.1026,2.81
"M_EIC",75,43.75,45,5.38,0.93,27,20,4.58,0.0866,1.09
"M_FAL",87,43.75,27.5,7.75,1.13,40,30,10.22,0.2386,2.29
"M_FRB",76.25,41.25,8.75,12.5,1.19,72,50,12.2,0.6531,3.05
"M_GRO",63.75,50.75,25,15.25,0.31,41,22,5.4,0.2504,1.01
"M_HAH",52.5,27.5,1.25,39.75,0.99,41,34,5.79,0.9954,2.17
"M_HAI",73,51.25,52.5,2.75,0.44,67,49,11.62,0.3998,1.85
"M_HAR",76.25,37,4,20,1.32,43,32,10.7,1.497,2.6
"M_HIR",65,30,37.5,7,1.21,50,40,8.9,1.0837,4
"M_HLI",74.75,28.25,63.75,4.5,1.76,56,43,7.89,2.0414,2.08
"M_HNB",53.75,31,10,11.88,0.8,62,43,3.02,0.8008,2.11
"M_HOH",89.25,38,42.5,3.25,1.35,53,30,4.39,0.1468,2.58
"M_ILB",92.25,28.75,8.25,5.25,2.48,42,33,6.46,0.4531,2.76
"M_JEP",78.75,32.5,11.25,10.25,1.74,47,37,9.66,1.1353,1.21
"M_JER",77.5,14.5,10,13.75,4.5,61,48,6.5,4.9552,1.94
"M_KAL",65,38.25,27.5,5.75,0.75,54,42,6.43,0.07,1.55
"M_KAP",88.75,75,60,1.38,0.26,35,22,5.3,0.1384,1.62
"M_KIF",60,42.5,56.25,2.25,0.45,70,39,7.73,0.0392,2.31
"M_KOL",67.5,40.75,9.25,19.25,0.8,42,34,5.25,0.5088,6.08
"M_KOT",87.5,43.75,46.25,2.38,1.04,58,41,6.11,2.1737,2.21
"M_KUH",62.5,47.5,28.75,9,0.32,63,50,9.61,0.1735,2.06
"M_LOB",85,41.25,10.5,4.75,1.38,49,37,1.65,0.4003,1.71
"M_MOZ",86.25,60,4,5.25,0.69,57,51,7.85,0.7156,2.3
"M_NEL",19,10.25,10,69.25,0.92,50,29,13.52,0.0899,1.7
"M_NIS",75,27.5,35,2.5,1.73,64,40,13.88,1.1545,2.75
"M_PRA",77.5,36.75,9.75,12.5,1.35,54,30,5.22,0.322,1.69
